dataset,stars,baseline,autocd,autocd+,autocd_pc,autocd_pc+,pc,fges,lingam,golem
mixed_10_3,0.71$pm$0.12,0.59$pm$0.11,0.58$pm$0.13,0.57$pm$0.12,0.61$pm$0.13,0.61$pm$0.13,0.54$pm$0.1,0.67$pm$0.15,,
mixed_10_4,0.68$pm$0.12,0.59$pm$0.1,0.55$pm$0.09,0.55$pm$0.09,0.57$pm$0.07,0.56$pm$0.07,0.5$pm$0.08,0.62$pm$0.09,,
mixed_20_2,0.61$pm$0.09,0.53$pm$0.07,0.74$pm$0.14,0.74$pm$0.14,0.74$pm$0.14,0.75$pm$0.14,0.62$pm$0.06,0.81$pm$0.12,,
mixed_20_3,0.64$pm$0.06,0.64$pm$0.07,0.75$pm$0.1,0.74$pm$0.09,0.78$pm$0.1,0.75$pm$0.1,0.62$pm$0.06,0.83$pm$0.08,,
mixed_20_4,0.6$pm$0.09,0.61$pm$0.11,0.66$pm$0.12,0.66$pm$0.12,0.67$pm$0.12,0.66$pm$0.12,0.61$pm$0.1,0.78$pm$0.09,,
mixed_30_2,0.61$pm$0.09,0.62$pm$0.05,0.78$pm$0.1,0.77$pm$0.11,0.73$pm$0.12,0.74$pm$0.13,0.66$pm$0.05,0.84$pm$0.12,,
mixed_30_3,0.66$pm$0.06,0.66$pm$0.09,0.7$pm$0.11,0.69$pm$0.11,0.7$pm$0.1,0.71$pm$0.11,0.63$pm$0.03,0.84$pm$0.08,,
mixed_30_4,0.65$pm$0.06,0.61$pm$0.04,0.67$pm$0.1,0.66$pm$0.1,0.66$pm$0.1,0.66$pm$0.09,0.59$pm$0.06,0.82$pm$0.06,,
mixed_40_2,0.6$pm$0.07,0.63$pm$0.06,0.76$pm$0.12,0.75$pm$0.12,0.76$pm$0.12,0.76$pm$0.12,0.71$pm$0.05,0.91$pm$0.05,,
mixed_40_3,0.64$pm$0.06,0.6$pm$0.03,0.7$pm$0.14,0.7$pm$0.14,0.69$pm$0.12,0.69$pm$0.13,0.63$pm$0.06,0.83$pm$0.12,,
mixed_40_4,0.67$pm$0.05,0.66$pm$0.05,0.66$pm$0.09,0.66$pm$0.09,0.65$pm$0.07,0.66$pm$0.07,0.63$pm$0.04,0.76$pm$0.1,,
mixed_5_2,0.78$pm$0.22,0.57$pm$0.18,0.54$pm$0.13,0.54$pm$0.13,0.5$pm$0.2,0.54$pm$0.24,0.54$pm$0.14,0.54$pm$0.16,,
mixed_5_3,0.8$pm$0.08,0.62$pm$0.11,0.54$pm$0.09,0.57$pm$0.07,0.52$pm$0.08,0.55$pm$0.1,0.6$pm$0.09,0.53$pm$0.12,,
mixed_5_4,0.72$pm$0.1,0.56$pm$0.17,0.5$pm$0.1,0.49$pm$0.11,0.45$pm$0.15,0.51$pm$0.09,0.5$pm$0.1,0.42$pm$0.11,,
mixed_9_adni,0.86$pm$0.08,0.89$pm$0.06,0.85$pm$0.04,0.85$pm$0.04,0.85$pm$0.03,0.85$pm$0.03,0.77$pm$0.03,0.84$pm$0.03,,
