dataset,stars,baseline,autocd,autocd+,autocd_pc,autocd_pc+,pc,fges,lingam,golem
discrete_5_4,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,,
mixed_10_2,0.02$pm$0.05,0.02$pm$0.05,0.34$pm$0.29,0.37$pm$0.27,0.35$pm$0.24,0.32$pm$0.15,0.1$pm$0.07,0.48$pm$0.16,,
mixed_10_3,0.01$pm$0.02,0.04$pm$0.1,0.22$pm$0.23,0.19$pm$0.23,0.21$pm$0.2,0.2$pm$0.2,0.06$pm$0.04,0.42$pm$0.17,,
mixed_10_4,0.0$pm$0.01,0.0$pm$0.01,0.09$pm$0.11,0.09$pm$0.11,0.11$pm$0.11,0.1$pm$0.11,0.05$pm$0.04,0.3$pm$0.16,,
mixed_20_2,0.03$pm$0.05,0.1$pm$0.11,0.53$pm$0.28,0.53$pm$0.27,0.53$pm$0.26,0.54$pm$0.26,0.34$pm$0.07,0.71$pm$0.19,,
mixed_20_3,0.01$pm$0.03,0.02$pm$0.03,0.45$pm$0.29,0.41$pm$0.25,0.54$pm$0.23,0.43$pm$0.28,0.22$pm$0.09,0.67$pm$0.19,,
mixed_20_4,0.03$pm$0.02,0.1$pm$0.16,0.29$pm$0.17,0.28$pm$0.16,0.29$pm$0.17,0.28$pm$0.16,0.13$pm$0.06,0.57$pm$0.18,,
mixed_30_2,0.06$pm$0.06,0.05$pm$0.05,0.53$pm$0.23,0.51$pm$0.26,0.47$pm$0.24,0.47$pm$0.25,0.38$pm$0.16,0.7$pm$0.3,,
mixed_30_3,0.02$pm$0.03,0.22$pm$0.18,0.39$pm$0.23,0.38$pm$0.23,0.4$pm$0.22,0.43$pm$0.22,0.3$pm$0.08,0.69$pm$0.19,,
mixed_30_4,0.01$pm$0.01,0.07$pm$0.05,0.31$pm$0.2,0.29$pm$0.2,0.29$pm$0.2,0.28$pm$0.19,0.18$pm$0.08,0.66$pm$0.14,,
mixed_40_2,0.03$pm$0.06,0.09$pm$0.15,0.48$pm$0.26,0.45$pm$0.25,0.47$pm$0.25,0.47$pm$0.26,0.35$pm$0.14,0.85$pm$0.09,,
mixed_40_3,0.03$pm$0.03,0.03$pm$0.02,0.38$pm$0.27,0.37$pm$0.27,0.34$pm$0.21,0.34$pm$0.21,0.27$pm$0.08,0.67$pm$0.25,,
mixed_40_4,0.01$pm$0.02,0.12$pm$0.16,0.22$pm$0.13,0.22$pm$0.12,0.2$pm$0.1,0.2$pm$0.1,0.15$pm$0.05,0.45$pm$0.26,,
mixed_5_2,0.0$pm$0.0,0.05$pm$0.08,0.16$pm$0.19,0.15$pm$0.19,0.22$pm$0.17,0.16$pm$0.14,0.06$pm$0.11,0.21$pm$0.2,,
mixed_5_3,0.0$pm$0.0,0.01$pm$0.03,0.03$pm$0.05,0.02$pm$0.05,0.04$pm$0.06,0.04$pm$0.06,0.02$pm$0.05,0.05$pm$0.07,,
mixed_5_4,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,0.0$pm$0.0,,
mixed_9_adni,0.49$pm$0.04,0.55$pm$0.05,0.6$pm$0.06,0.6$pm$0.06,0.61$pm$0.06,0.61$pm$0.06,0.56$pm$0.04,0.67$pm$0.03,,
