dataset,stars,baseline,autocd,autocd+,autocd_pc,autocd_pc+,pc,fges,lingam,golem
discrete_30_3,0.69$pm$0.1,0.59$pm$0.16,0.53$pm$0.1,0.52$pm$0.12,0.52$pm$0.1,0.52$pm$0.11,0.52$pm$0.07,0.51$pm$0.12,,
discrete_30_4,0.73$pm$0.06,0.73$pm$0.07,0.65$pm$0.07,0.65$pm$0.07,0.66$pm$0.05,0.67$pm$0.05,0.68$pm$0.04,0.66$pm$0.09,,
discrete_40_2,0.61$pm$0.14,0.37$pm$0.12,0.31$pm$0.06,0.31$pm$0.06,0.31$pm$0.06,0.31$pm$0.05,0.31$pm$0.04,0.35$pm$0.1,,
discrete_40_3,0.75$pm$0.08,0.51$pm$0.15,0.54$pm$0.1,0.54$pm$0.1,0.56$pm$0.1,0.56$pm$0.1,0.52$pm$0.07,0.49$pm$0.09,,
discrete_40_4,0.85$pm$0.08,0.68$pm$0.08,0.65$pm$0.06,0.65$pm$0.06,0.66$pm$0.06,0.66$pm$0.06,0.67$pm$0.04,0.71$pm$0.06,,
discrete_5_2,0.65$pm$0.34,0.18$pm$0.25,0.11$pm$0.2,0.11$pm$0.2,0.09$pm$0.19,0.1$pm$0.19,0.1$pm$0.19,0.07$pm$0.14,,
discrete_5_3,0.84$pm$0.18,0.36$pm$0.27,0.24$pm$0.18,0.25$pm$0.19,0.27$pm$0.16,0.24$pm$0.16,0.24$pm$0.17,0.18$pm$0.18,,
discrete_5_4,0.89$pm$0.06,0.7$pm$0.16,0.36$pm$0.2,0.39$pm$0.21,0.27$pm$0.19,0.3$pm$0.2,0.22$pm$0.21,0.17$pm$0.2,,
mixed_10_2,0.57$pm$0.17,0.54$pm$0.11,0.23$pm$0.18,0.23$pm$0.19,0.24$pm$0.16,0.28$pm$0.17,0.42$pm$0.11,0.18$pm$0.16,,
mixed_10_3,0.66$pm$0.14,0.51$pm$0.16,0.32$pm$0.22,0.35$pm$0.22,0.32$pm$0.17,0.33$pm$0.16,0.43$pm$0.12,0.15$pm$0.12,,
mixed_10_4,0.65$pm$0.1,0.57$pm$0.09,0.39$pm$0.13,0.39$pm$0.13,0.38$pm$0.12,0.38$pm$0.12,0.42$pm$0.07,0.22$pm$0.15,,
mixed_20_2,0.56$pm$0.11,0.43$pm$0.11,0.17$pm$0.15,0.17$pm$0.14,0.17$pm$0.13,0.16$pm$0.13,0.26$pm$0.09,0.08$pm$0.08,,
mixed_20_3,0.61$pm$0.06,0.61$pm$0.09,0.25$pm$0.21,0.28$pm$0.19,0.19$pm$0.14,0.27$pm$0.21,0.39$pm$0.09,0.1$pm$0.12,,
mixed_20_4,0.54$pm$0.07,0.46$pm$0.15,0.31$pm$0.1,0.32$pm$0.09,0.31$pm$0.1,0.31$pm$0.09,0.45$pm$0.08,0.14$pm$0.1,,
mixed_30_2,0.54$pm$0.11,0.56$pm$0.07,0.22$pm$0.16,0.24$pm$0.17,0.25$pm$0.14,0.24$pm$0.14,0.28$pm$0.13,0.11$pm$0.17,,
mixed_30_3,0.63$pm$0.08,0.42$pm$0.12,0.27$pm$0.13,0.27$pm$0.13,0.26$pm$0.13,0.24$pm$0.13,0.32$pm$0.06,0.1$pm$0.12,,
mixed_30_4,0.62$pm$0.07,0.51$pm$0.06,0.32$pm$0.13,0.33$pm$0.13,0.33$pm$0.13,0.34$pm$0.13,0.4$pm$0.06,0.1$pm$0.08,,
mixed_40_2,0.56$pm$0.07,0.51$pm$0.13,0.26$pm$0.15,0.27$pm$0.14,0.26$pm$0.14,0.25$pm$0.14,0.33$pm$0.1,0.05$pm$0.05,,
mixed_40_3,0.6$pm$0.09,0.55$pm$0.03,0.29$pm$0.15,0.29$pm$0.15,0.31$pm$0.11,0.31$pm$0.11,0.35$pm$0.06,0.12$pm$0.13,,
mixed_40_4,0.64$pm$0.07,0.51$pm$0.15,0.39$pm$0.1,0.39$pm$0.09,0.41$pm$0.07,0.41$pm$0.07,0.46$pm$0.06,0.25$pm$0.15,,
mixed_5_2,0.76$pm$0.23,0.4$pm$0.28,0.3$pm$0.16,0.32$pm$0.17,0.25$pm$0.19,0.33$pm$0.21,0.38$pm$0.18,0.27$pm$0.15,,
mixed_5_3,0.75$pm$0.08,0.59$pm$0.12,0.45$pm$0.11,0.47$pm$0.12,0.44$pm$0.12,0.45$pm$0.17,0.49$pm$0.11,0.33$pm$0.21,,
mixed_5_4,0.72$pm$0.1,0.56$pm$0.17,0.5$pm$0.1,0.49$pm$0.11,0.45$pm$0.15,0.51$pm$0.09,0.5$pm$0.1,0.42$pm$0.11,,
mixed_9_adni,0.15$pm$0.04,0.11$pm$0.02,0.05$pm$0.02,0.05$pm$0.02,0.05$pm$0.01,0.05$pm$0.01,0.12$pm$0.06,0.04$pm$0.0,,
