dataset,stars,baseline,autocd,autocd+,autocd_pc,autocd_pc+,pc,fges,lingam,golem
continuous_5_3,0.02$pm$0.02,0.46$pm$0.11,0.0$pm$0.0,0.02$pm$0.02,0.0$pm$0.0,0.02$pm$0.02,0.37$pm$0.1,0.35$pm$0.09,0.45$pm$0.08,0.39$pm$0.09
continuous_5_4,0.02$pm$0.02,0.3$pm$0.11,0.0$pm$0.0,0.01$pm$0.01,0.0$pm$0.0,0.01$pm$0.02,0.13$pm$0.12,0.12$pm$0.12,0.21$pm$0.11,0.19$pm$0.12
discrete_10_2,0.01$pm$0.01,0.88$pm$0.04,0.85$pm$0.03,0.84$pm$0.03,0.84$pm$0.03,0.84$pm$0.03,0.85$pm$0.03,0.85$pm$0.03,,
discrete_10_3,0.01$pm$0.01,0.89$pm$0.05,0.84$pm$0.05,0.84$pm$0.04,0.84$pm$0.05,0.84$pm$0.05,0.85$pm$0.05,0.84$pm$0.05,,
discrete_10_4,0.01$pm$0.01,0.9$pm$0.04,0.86$pm$0.04,0.86$pm$0.04,0.86$pm$0.04,0.86$pm$0.05,0.87$pm$0.05,0.86$pm$0.05,,
discrete_20_2,0.02$pm$0.01,0.9$pm$0.02,0.87$pm$0.02,0.88$pm$0.02,0.87$pm$0.02,0.87$pm$0.02,0.88$pm$0.01,0.88$pm$0.01,,
discrete_20_3,0.01$pm$0.01,0.9$pm$0.01,0.88$pm$0.02,0.88$pm$0.02,0.88$pm$0.02,0.88$pm$0.02,0.89$pm$0.02,0.88$pm$0.02,,
discrete_20_4,0.01$pm$0.01,0.91$pm$0.02,0.89$pm$0.02,0.89$pm$0.02,0.89$pm$0.02,0.89$pm$0.02,0.9$pm$0.02,0.89$pm$0.02,,
discrete_30_2,0.01$pm$0.01,0.91$pm$0.01,0.89$pm$0.01,0.89$pm$0.01,0.89$pm$0.01,0.89$pm$0.01,0.89$pm$0.01,0.89$pm$0.01,,
discrete_30_3,0.01$pm$0.01,0.91$pm$0.02,0.89$pm$0.02,0.89$pm$0.01,0.89$pm$0.01,0.89$pm$0.02,0.89$pm$0.01,0.89$pm$0.01,,
discrete_30_4,0.01$pm$0.01,0.91$pm$0.01,0.9$pm$0.01,0.9$pm$0.01,0.9$pm$0.01,0.9$pm$0.01,0.91$pm$0.01,0.9$pm$0.01,,
discrete_40_2,0.0$pm$0.0,0.89$pm$0.01,0.88$pm$0.01,0.88$pm$0.01,0.88$pm$0.01,0.88$pm$0.01,0.88$pm$0.01,0.88$pm$0.01,,
discrete_40_3,0.0$pm$0.0,0.9$pm$0.02,0.9$pm$0.01,0.9$pm$0.01,0.9$pm$0.01,0.9$pm$0.01,0.9$pm$0.02,0.89$pm$0.01,,
discrete_40_4,0.0$pm$0.0,0.92$pm$0.01,0.91$pm$0.01,0.91$pm$0.01,0.91$pm$0.01,0.91$pm$0.01,0.91$pm$0.01,0.91$pm$0.01,,
discrete_5_2,0.01$pm$0.01,0.87$pm$0.04,0.82$pm$0.03,0.82$pm$0.03,0.82$pm$0.03,0.82$pm$0.03,0.83$pm$0.03,0.82$pm$0.03,,
discrete_5_3,0.01$pm$0.01,0.85$pm$0.06,0.81$pm$0.05,0.81$pm$0.05,0.81$pm$0.04,0.81$pm$0.05,0.8$pm$0.05,0.81$pm$0.05,,
discrete_5_4,0.0$pm$0.01,0.87$pm$0.05,0.8$pm$0.04,0.8$pm$0.04,0.78$pm$0.05,0.78$pm$0.05,0.78$pm$0.05,0.78$pm$0.04,,
mixed_10_2,0.03$pm$0.0,0.88$pm$0.02,0.85$pm$0.02,0.85$pm$0.01,0.84$pm$0.02,0.84$pm$0.02,0.85$pm$0.02,0.83$pm$0.02,,
mixed_10_3,0.03$pm$0.01,0.82$pm$0.04,0.79$pm$0.04,0.79$pm$0.04,0.79$pm$0.04,0.79$pm$0.04,0.79$pm$0.04,0.79$pm$0.04,,
mixed_10_4,0.02$pm$0.01,0.8$pm$0.04,0.77$pm$0.03,0.77$pm$0.03,0.77$pm$0.02,0.77$pm$0.02,0.77$pm$0.02,0.76$pm$0.03,,
mixed_20_2,0.01$pm$0.01,0.86$pm$0.02,0.84$pm$0.02,0.84$pm$0.02,0.84$pm$0.02,0.84$pm$0.02,0.84$pm$0.02,0.83$pm$0.02,,
mixed_20_3,0.01$pm$0.01,0.83$pm$0.05,0.79$pm$0.06,0.79$pm$0.05,0.79$pm$0.06,0.79$pm$0.05,0.8$pm$0.04,0.78$pm$0.05,,
mixed_20_4,0.02$pm$0.0,0.78$pm$0.03,0.77$pm$0.04,0.76$pm$0.04,0.76$pm$0.04,0.76$pm$0.04,0.77$pm$0.03,0.75$pm$0.03,,
mixed_30_2,0.01$pm$0.01,0.89$pm$0.02,0.87$pm$0.01,0.87$pm$0.01,0.86$pm$0.01,0.86$pm$0.01,0.86$pm$0.01,0.85$pm$0.01,,
mixed_30_3,0.01$pm$0.01,0.84$pm$0.02,0.83$pm$0.01,0.83$pm$0.01,0.83$pm$0.01,0.83$pm$0.01,0.83$pm$0.01,0.82$pm$0.01,,
mixed_30_4,0.01$pm$0.01,0.79$pm$0.03,0.77$pm$0.02,0.77$pm$0.02,0.77$pm$0.02,0.77$pm$0.02,0.78$pm$0.02,0.76$pm$0.02,,
mixed_40_2,0.01$pm$0.01,0.89$pm$0.02,0.87$pm$0.01,0.87$pm$0.01,0.87$pm$0.01,0.87$pm$0.01,0.87$pm$0.02,0.85$pm$0.02,,
mixed_40_3,0.01$pm$0.0,0.83$pm$0.02,0.81$pm$0.01,0.8$pm$0.01,0.81$pm$0.02,0.8$pm$0.01,0.8$pm$0.02,0.79$pm$0.01,,
mixed_40_4,0.01$pm$0.01,0.8$pm$0.02,0.78$pm$0.02,0.78$pm$0.02,0.78$pm$0.02,0.78$pm$0.02,0.78$pm$0.02,0.77$pm$0.02,,
mixed_5_2,0.02$pm$0.01,0.91$pm$0.03,0.89$pm$0.03,0.89$pm$0.03,0.88$pm$0.03,0.89$pm$0.02,0.89$pm$0.03,0.88$pm$0.03,,
mixed_5_3,0.02$pm$0.01,0.84$pm$0.05,0.8$pm$0.03,0.81$pm$0.03,0.79$pm$0.03,0.81$pm$0.04,0.8$pm$0.03,0.79$pm$0.04,,
mixed_5_4,0.02$pm$0.02,0.81$pm$0.05,0.75$pm$0.05,0.77$pm$0.05,0.75$pm$0.05,0.76$pm$0.06,0.75$pm$0.05,0.75$pm$0.05,,
mixed_9_adni,0.1$pm$0.02,0.91$pm$0.0,0.9$pm$0.0,0.9$pm$0.0,0.9$pm$0.0,0.9$pm$0.0,0.9$pm$0.0,0.9$pm$0.0,,
